State,Minimum Age for Learner's Permit,Minimum Age for Restricted License,Minimum Age for Full (Unrestricted) License
Alabama,15.00,16.00,17.00
Alaska,14.00,16.00,16.50
Arizona,15.50,16.00,16.50
Arkansas,14.00,16.00,18.00
California,15.50,16.00,17.00
Colorado,15.00,16.00,17.00
Connecticut,16.00,16.40,18.00
Delaware,16.00,16.50,17.00
District of Columbia,16.00,16.50,18.00
Florida,15.00,16.00,18.00
Georgia,15.00,16.00,18.00
Hawaii,15.50,16.00,17.00
Idaho,14.50,15.00,16.00
Illinois,15.00,16.00,18.00
Indiana,15.00,16.30,18.00
Iowa,14.00,16.00,17.00
Kansas,14.00,16.00,16.50
Kentucky,16.00,16.50,17.00
Louisiana,15.00,16.00,17.00
Maine,15.00,16.00,16.50
Maryland,15.70,16.50,18.00
Massachusetts,16.00,16.50,18.00
Michigan,14.50,16.00,17.00
Minnesota,15.00,16.00,17.00
Mississippi,15.00,16.00,16.50
Missouri,15.00,16.00,17.90
Montana,14.50,15.00,16.00
Nebraska,15.00,16.00,17.00
Nevada,15.50,16.00,18.00
New Hampshire,15.50,16.00,18.00
New Jersey,16.00,17.00,18.00
New Mexico,15.00,15.50,16.50
New York,16.00,16.50,17.00
North Carolina,15.00,16.00,16.50
North Dakota,14.00,15.00,16.00
Ohio,15.50,16.00,18.00
Oklahoma,15.50,16.00,16.50
Oregon,15.00,16.00,18.00
Pennsylvania,16.00,16.50,17.50
Rhode Island,16.00,16.50,17.50
South Carolina,15.00,15.50,16.50
South Dakota,14.00,14.30,16.00
Tennessee,15.00,16.00,17.00
Texas,15.00,16.00,18.00
Utah,15.00,16.00,17.00
Vermont,15.00,16.00,16.50
Virginia,15.50,16.30,18.00
Washington,15.00,16.00,17.00
West Virgiania,15.00,16.00,17.00
Wisconsin,15.50,16.00,16.70
Wyoming,15.00,16.00,16.50
