State,BAC
Alabama,0.8
Alaska,0.8
Arizona,0.8
Arkansas,0.8
California,0.8
Colorado,0.8
Connecticut,0.8
Delaware,0.8
District of Columbia,0.8
Florida,0.8
Georgia,0.8
Hawaii,0.8
Idaho,0.8
Illinois,0.8
Indiana,0.8
Iowa,0.8
Kansas,0.8
Kentucky,0.8
Louisiana,0.8
Maine,0.8
Maryland,0.8
Massachusetts,0.8
Michigan,0.8
Minnesota,0.8
Mississippi,0.8
Missouri,0.8
Montana,0.8
Nebraska,0.8
Nevada,0.8
New Hampshire,0.8
New Jersey,0.8
New Mexico,0.8
New York,0.8
North Carolina,0.8
North Dakota,0.8
Ohio,0.8
Oklahoma,0.8
Oregon,0.8
Pennsylvania,0.8
Rhode Island,0.8
South Carolina,0.8
South Dakota,0.8
Tennessee,0.8
Texas,0.8
Utah,0.8
Vermont,0.8
Virginia,0.8
Washington,0.8
West Virgiania,0.8
Wisconsin,0.8
Wyoming,0.8
